team,map_name,pistol_round_win_rate,n_pistol_rounds,ct_win_rate,n_ct_rounds,t_win_rate,n_t_rounds
3DMAX,Overpass,0.3333333333333333,12,0.582089552238806,67,0.28125,64
3DMAX,Train,0.4583333333333333,24,0.6101694915254238,118,0.4626865671641791,134
3DMAX,Vertigo,0.5555555555555556,18,0.5164835164835165,91,0.514018691588785,107
3DMAX Academy,Dust2,0.75,4,0.47058823529411764,17,0.2916666666666667,24
3DMAX Academy,Mirage,0.0,2,0.25,12,0.0,4
3DMAX Academy,Train,0.5,2,0.25,12,0.2,5
4 EYEZ,Anubis,0.5,2,0.4166666666666667,12,0.5833333333333334,12
4 EYEZ,Dust2,0.5,6,0.6153846153846154,26,0.5,36
4 EYEZ,Mirage,0.5,2,0.5833333333333334,12,0.0,8
4 EYEZ,Nuke,0.5,2,0.75,12,0.16666666666666666,12
4 EYEZ,Train,0.75,4,0.4583333333333333,24,0.55,20
4ever cool,Dust2,0.0,2,0.16666666666666666,6,0.3333333333333333,12
4ever cool,Nuke,0.5,2,0.3333333333333333,12,0.5,10
4wb,Ancient,0.0,2,0.0,3,0.16666666666666666,12
500,Ancient,0.5,132,0.5167173252279635,658,0.5283540802213001,723
500,Anubis,0.4868421052631579,76,0.42280285035629456,421,0.5887096774193549,372
500,Dust2,0.4875,80,0.437219730941704,446,0.5208845208845209,407
500,Inferno,0.5408163265306123,98,0.5254237288135594,472,0.5688729874776386,559
500,Mirage,0.5223880597014925,134,0.5762195121951219,656,0.5033557046979866,745
500,Nuke,0.5,110,0.4975767366720517,619,0.423728813559322,531
500,Overpass,0.5294117647058824,34,0.5838509316770186,161,0.47058823529411764,204
500,Train,0.0,2,0.4166666666666667,12,0.0,6
500 Rush,Ancient,0.5,4,0.3333333333333333,24,0.5,20
500 Rush,Dust2,0.5,2,0.4166666666666667,12,0.5,12
500 Rush,Mirage,0.8333333333333334,6,0.45161290322580644,31,0.53125,32
500 Rush,Nuke,0.5,6,0.5333333333333333,30,0.5142857142857142,35
5balls,Dust2,0.0,2,0.5,12,0.5,12
5balls,Mirage,0.5,2,0.08333333333333333,12,0.6,5
5balls,Train,1.0,2,1.0,3,0.8333333333333334,12
777,Ancient,0.5,4,0.25,24,0.2727272727272727,11
777,Anubis,0.5,8,0.4444444444444444,36,0.4791666666666667,48
777,Inferno,0.625,8,0.3488372093023256,43,0.7272727272727273,44
